3,0;3,0;3,0;5,0;5,0;5,0;1,0;1,0;1,0;3
7,0;3,0;7,0;4,0;5,0;3,0;5,0;7,0;0,0;3
5,0;7,0;7,0;3,0;4,0;3,0;5,0;5,0;7,0;3
5,0;5,0;3,0;4,0;4,0;9,0;9,0;7,0;0,0;3
0,0;1,0;8,0;5,0;0,0;5,0;1,0;1,0;0,0;3
7,0;1,0;1,0;5,0;5,0;8,0;7,0;3,0;0,0;3
1,0;7,0;9,0;7,0;5,0;4,0;4,0;7,0;4,0;3
7,0;9,0;7,0;8,0;8,0;7,0;7,0;4,0;0,0;3
0,0;3,0;7,0;4,0;4,0;1,0;8,0;7,0;7,0;3
1,0;8,0;1,0;0,0;5,0;1,0;9,0;9,0;0,0;3
3,0;1,0;7,0;1,0;1,0;5,0;4,0;4,0;0,0;3
7,0;3,0;1,0;9,0;9,0;8,0;1,0;1,0;0,0;3
0,0;4,0;4,0;7,0;7,0;7,0;8,0;5,0;8,0;2
4,0;4,0;3,0;3,0;1,0;1,0;0,0;5,0;0,0;2
7,0;7,0;9,0;8,0;8,0;4,0;5,0;5,0;7,0;2
7,0;9,0;7,0;0,0;0,0;4,0;7,0;8,0;0,0;2
4,0;4,0;7,0;1,0;1,0;1,0;7,0;8,0;8,0;2
8,0;7,0;7,0;5,0;1,0;8,0;3,0;3,0;0,0;2
1,0;8,0;5,0;5,0;7,0;4,0;4,0;4,0;3,0;2
8,0;0,0;7,0;0,0;5,0;5,0;0,0;3,0;0,0;2
